PK_LOCALIDADE;region_name;region_code;city;country;state;zip_code
3c7f67597982211ac18975ebaf5be86d0a7ec7b71b8c11f2fd5c25764b2aef9f;Canada;0;Oakville;CA;ON;L6J 5E6
d312649e845012977ab6340f8f871eedd5cd0dcd390e9a09af5c4895cfc63341;Southern;2;Miami;US;FL;33126
7d16918e5cbd6289c5d74b3a94389e8bbc1d5b10bb6dafcb373990041aa19f59;Northeast;3;Frederick;US;MD;21704
4d5617d7a316e9b5b79c9db42ede603344455ee2fc96fdf23e2d36f4eeef2afb;Western;1;Pomona;US;CA;91766
521649f600a9a9f2a7ef52899bc2dce10a7b9f337c0e9989ac8e4e98b9ad5cb4;Canada;0;Fort Macleod;CA;AB;T0L 0Z0
e02fb9f0b8d3c57d9f305ef6fa210f96cb907001880fcfd8c99ad210b6a3dbb6;International;5;Santiago;UK;Não informado;0
865eb4de0d71136eece76d962201b78a211094a1d5cee4a84df91f4bae5dfc29;Northeast;3;Roanoke;US;VA;24013
37fb902809ad8866949f18b47610beab94e7ba595484b7a3fe886d4a2b017822;Central;4;Bensonville;US;IL;60106-1119
853d3ede7f32d5cbcfb4374755b9b965dd0fe1f48c74e3cc269f86496d6ece20;Southern;2;Schertz;US;TX;78154-3214
e1849956cf11d1f0af16dfb9b5c514be26c26aa0cb3cb63d8575980151f6c80c;International;5;Dubai;UK;Não informado;0
055d33e4a2596159a3edc72e6db21ef5f3ada21b797d1af49925f0eef5ea1e14;Southern;2;Dallas;US;TX;75226
16d7083e611f14b13903ac1325baf6274cdc1aad127df709fdf54f25be94f47b;International;5;N-0598 Oslo;IR;Não informado;0
eb207fed0082b0d4a256a75be8582ecb84dce74a3a27b81c4fe3ecd2319cfe91;Southern;2;Fort Smith;US;AR;72902-0849
b20aafa5fd3352159e020d44c4c09f774ca5a16e62c8eba5b49ae91ee1b3e56b;Central;4;Pontiac;US;MI;48341
3aa947c29a33af08c9f90f9d0f76f82d5535e485350c11041bd56acd52c71d98;Central;4;Morton;US;IL;61550-0474
e6be9c411af06e8e9984c8f76d10327301f2491a7a9a68c9f6525e80ed81c372;Western;1;Cypress;US;CA;90630
32cbf152e55efb0be07ff0c3b513ce9c3abfe7270a29be41a517036ad088e95d;Central;4;Troy;US;MI;48083
5952d23bd26aab3a96e2328d28aed46aff8a505c4a3f80babfc8a4e15fe5d297;Southern;2;Jacksonville;US;FL;32241-3017
2a59ff3e3958ad151832d08baf1e7531ca8d65e94050078dfdf679ff5f49305e;Canada;0;Calgary;CA;AB;T2J 4L3
