PK_TEMPO;invoice_date;Ano;Mes;Dia
86d1523f0bf8a822f44b0b78ad17cd8238a57a105e6573d7e99336bf46c7a318;13/12/2017;2017;12;13
9805e97a9fd5a285d919e52867bc5dc91e28cae53c30be0d998dbd5d225942dd;20/03/2019;2019;03;20
641fd6002b6345becdda8f2b0c569a1f5dcc7269111166664c4c41627fbf2aed;22/05/2018;2018;05;22
7ed5d7c91335465cdf65f18bc561b838f4b0a734b1dc660c323ed0e8fc9d6f43;09/02/2017;2017;02;09
bf70be4a1725b61cfa64821bfe9dab839b04a4817e3f8ce5ab3b6e67ab7670f1;13/08/2018;2018;08;13
9c4e87a9f2abc31a046aac2e4ec576441bbebea436421b4c147c78a79d30b4cc;26/11/2018;2018;11;26
b35f184730e7eb729bb53eb94d8d66fd9d4949d19a596da8acd2c4d5905eab9d;02/09/2018;2018;09;02
125e70c562d05f2fe10906400ed4f79a8bec138f2d3aca108f777ccf24eb2038;06/10/2018;2018;10;06
2ae02cbdf384411406409342c4496062025af2432b50b5bea35332a5c4bce920;20/08/2018;2018;08;20
c005623d1331d87203046d999c48eb7fecaa5f1521401ecd9d74dc11630e4563;25/07/2018;2018;07;25
7a378f5dc202914315f104f68a7c3f4482891d7055a30d1f2cce8ecbfc265c1e;10/12/2018;2018;12;10
3201332f493382b0f5c60b4a135f6c085d3cee1242374f43c78b4e95a24a78c7;11/08/2017;2017;08;11
1f4b65031d2b9812d5b492ed300dc1296ad76fc5ca6813f17e10f90e10af1b2a;17/12/2017;2017;12;17
b9273007c1baa772aed0f8bc410783a565807d2382370d93a15c31a38cdd6b93;19/09/2018;2018;09;19
2f01492c823edb9506f7dbb7f0eb144fb2550e2c2551fa50228c71a35716b0c7;18/11/2017;2017;11;18
7eff9f67e8d1b05adb6bbd56ce7e3340cb301495cd37fa12e3fdaab71ffe1c6d;15/09/2017;2017;09;15
552d3da900784c768a0958ad475037fc2ed2a692be6b3adc45e1a0f42a009587;11/02/2018;2018;02;11
9b7076022634d63e14a8c7d844d18329716a3edd0c792da356f1f4e672561320;13/06/2018;2018;06;13
4845664aaba9ca70e0056661339c1b4d1e84de8d090b61541b22d97610f2a4a6;26/02/2018;2018;02;26
64194202a1a5acae55251e45b5b45e66d292b6800bf3fd9acfcacbc481968752;22/04/2018;2018;04;22
df6e7164d9df28cd2e520e4c7ff5efd3360f0a82738d659e1ff7c30013ba62e1;29/08/2018;2018;08;29
adf71f7d78957ffe03df5c0c77e0fd2480ab1fb80e5c5aa51001e5384fc213f0;31/08/2017;2017;08;31
e2375e9affde39286d15da7475b4d7109eded8c1f34cef2b857987a75cb0aee4;16/09/2018;2018;09;16
4593c7148cdd1979003be5de6d331bdbb57ae6ae44c058a72f5714c4ebfddf1a;01/06/2017;2017;06;01
